timestamp,language,question,answer
2026-01-07T16:12:10.962226,hi,डेस्टिनेशन है उसमें में फाइल रन,"माफ़ कीजिये, लेकिन आपकी डेस्टिनेशन ""फाइल रन"" को अस्पताल के विभागों के साथ मैच करना लगभग असंभव है। क्या आप कुछ और बता सकते हैं जैसे लक्षण, समस्या या विशिष्ट स्थिति जिसे आप देख रहे हैं? इससे मैं आपको अधिक सटीक जानकारी प्रदान कर सकूंगा।"
2026-01-07T16:26:10.254469,en,how can i help you,Department: Vascular Surgery
2026-01-07T16:26:15.955128,te,వాస్క్యులర్,"విభాగం: వాస్కులర్ సర్జరీ
డాక్టర్: డాక్టర్ సందీప్ మహాపట్ర
జాబితా స్థానం: 5వ అంతస్తు, గది"
2026-01-07T16:26:34.415750,te,విభాగం వాస్కులర్ సర్జరీ డాక్టర్ సందీప్ మహా పడిన జాబితా స్థానం ఐదో అంతస్తు గది,"విభాగం పేరు వాస్కులర్ సర్జరీ, డాక్టర్ పేరు Dr. Sandeep Mahapatra, మరియు చిరునామా 5వ అంతస్తు, గది నం 501."
2026-01-07T16:27:06.197012,te,నేను కంటి విభాగాన్ని సందర్శించా,"కంటి విభాగం కోసం మేము లక్షణాల క్రింద పేర్కొన్న సమాచారం లేదు. అయినప్పటికీ, ఆరోగ్య సంక్షో"
2026-01-07T16:27:26.047573,te,లక్షణాల క్రింద పేర్కొన్న సమాచారం లేదు అయినప్పటికీ ఆరోగ్య సంక్షో,ఆరోగ్య సంక్షోభ సమాచారం లేదు.
2026-01-07T16:27:40.173991,te,సమాచారం లేదు,"వినియోగదారు నివేదించిన లక్షణాలు దిగుబడి చూపబడలేదు. సమాచారాన్ని అందించి, వినియోగదారు"
2026-01-07T17:19:04.472370,en,how can i help you,Cardiology Unit-1
2026-01-07T17:19:13.938255,en,bahar ka environment,Surgical Gastroenterology
2026-01-07T17:24:55.928780,en,naya model box on the wire,Cardiology Unit-1
2026-01-07T17:25:11.276994,en,what time it is also displaying the video cam what is as well and i have removed the how many people,I cannot provide medical advice. Please consult a doctor.
2026-01-07T17:25:43.781860,hi,अभी टच करता है,"स्थिति के आधार पर, मैं सूची से सबसे प्रासंगिक विभाग के रूप में Cardiology Unit-1 की जानकारी निम्नलिखित है:

- विभाग: Cardiology Unit-1
- डॉक्टर: Dr. O. Sai Satish
- स्थान: ग्राउंड फ्लोर, कमरा नंबर 2, 4, 6"
2026-01-07T17:26:13.575844,te,సాయి సతీష్ స్థానం గ్రౌండ్ ఫ్లోర్ కెమెరా నెంబర్తో చాట్ చెయ్,"గ్రౌండ్ ఫ్లోర్ కెమెరా నెంబర్ 2,4,6"
2026-01-07T17:26:27.145325,te,నాలుగు ఆరు,"కార్డియాలజీ యూనిట్-4

శాఖ: కార్డియాలజీ యూనిట్-4
డాక్టర్ పేరు: డాక్టర్ ఎం. జ్యోత్స్న
స్థా"
2026-01-07T17:26:43.857276,te,కానీ జ్యోతిష,మేము గుర్తించలేము.
2026-01-07T17:26:48.414514,te,గుర్తించ,"సమాచారంతో ప్రతిస్పందించడానికి మీకు ఏమి అవసరం అని మీ ప్రశ్న అడుగుతోంది.

వినియోగదారు ని"
2026-01-07T17:27:00.802973,hi,विनियोग गद्दारी,"कार्डियोलोजी यूनिट-2
विभाग: कार्डियोलोजी यूनिट-2
डॉक्टर: डॉ. B. Srinivas
स्थान: ग्राउंड फ्लोर, कमरा नंबर 3,5"
2026-01-07T17:27:36.847039,en,hello,Please report your symptoms for department matching.
2026-01-07T17:27:46.696209,te,అను కాలేజీ డిపార్ట్మెంట్,మీరు హాస్పిటల్ నావిగేషన్ అసిస్టెంట్. వినియోగదారు నివేదించిన కాలేజీ డిపార్ట్మెంట్ వి
2026-01-07T17:27:57.593296,en,viniyog gaddaron nivedan college department me,Medical Gastroenterology
2026-01-07T17:28:10.153677,hi,मेडिकल गैस्ट्रोएनोलोजी डिपार्मेंट कहाँ पर है,"5वीं मंजिल, कमरा नंबर 502"
2026-01-07T17:28:21.604686,hi,डॉक्टर का नाम पूछ सकता है,कृपया डॉक्टर का नाम बताएं जिससे मैं सही विभाग को सूचित कर सकूँ।
2026-01-07T17:28:36.708232,en,doctor ka naam vah batane ka,"Pregnancy symptoms reported: 
Department: Obstetrics and Gynecology (Not Found)
Department: Maternal Fetal Medicine (Not Found)
Department: Urology"
2026-01-07T17:29:02.124978,en,pharmacy,No department matches the provided symptom: 'pharmacy'
2026-01-07T17:29:25.450155,te,గ్యాస్ట్రో నామి,మెడికల్ గ్యాస్ట్రోఎంటరాలజీ
2026-01-07T17:29:37.548162,te,మెడికల్ గ్యాస్ట్రోఎంటరాలజీ,"విభాగం పేరు మెడికల్ గ్యాస్ట్రోఎంటరాలజీ, డాక్టర్ పేరు Dr. Y. Satyanarayana Raju, మరియు చిరునామా 5వ అంతస్తు, గది నం 502."
2026-01-07T17:29:59.938521,en,main hindi mein poochh raha hun telugu,Cardiology Unit-2- Dr. B. Srinivas
2026-01-07T17:30:19.131095,en,abhi cardiology kyon aaya tha,"- Department: Cardiology Unit-4, Doctor: Dr. M. Jyotsna, Location: Ground floor, room no 2,4,6"
2026-01-07T17:30:34.014326,hi,कार्डियोलॉजी में ज्यादा कीबोर्ड,"कार्डियोलॉजी विभाग:
Department: Cardiology Unit-1, Doctor: Dr. O. Sai Satish, Location: ग्राउंड फ्लोर, कमरा नंबर 2,4,6
Department: Cardiology Unit-2, Doctor: Dr. B. Srinivas, Location: ग्राउंड फ्लोर, कमरा नंबर 3,5
Department: Cardiology Unit-3, Doctor: Dr. N. Rama Kumari, Location: ग्राउंड फ्लोर, कमरा नंबर 3,5
Department: Cardiology Unit-4, Doctor: Dr. M. Jyotsna, Location:"
2026-01-08T11:26:25.162271,te,కర్ణాటక,"అలాగే! కేరళ కాదన్నా, మిగతా అంశాలు మాత్రం నాకు తెలిసాయి."
2026-01-08T11:26:43.994511,en,ladiss ke piche,ENT
2026-01-08T11:26:54.320636,te,ఆంకాలజీ విభాగం ఎక్కడ ఉంది,క్యాన్సర్ బ్లాక్
2026-01-08T11:26:59.974382,te,హాయ్ గూగుల్,సారంగా ఉండండి. వినియోగదారు నివేదించిన లక్షణాలను అందించిన జాబితా నుండి అత్యంత సంబంధిత
2026-01-08T11:27:16.501663,te,భాగం ఎక్కడ ఉంది,Location is not భాగం as per your question so the answer will not contain location details.
2026-01-08T11:27:47.033100,te,చర్మ వ్యాధి విభాగం ఎక్కడ ఉంది,చర్మ వ్యాధి విభాగం ఓపీడి బ్లాక్‌లో ఉంది.
2026-01-08T11:30:21.100225,en,how can i help you,General Medicine
2026-01-08T11:30:26.013536,en,general medicine,"General Medicine, Consultant Physician, OPD Block, Ground Floor"
2026-01-08T11:30:39.455276,te,చర్మవ్యాధి విభాగం ఎక్కడ ఉంది,చర్మవ్యాధి విభాగం చర్మ ఓపీడిలో ఉంది.
2026-01-08T11:31:06.271317,te,క్యాన్సర్ విభాగం ఎక్కడ ఉంది,"విభాగం పేరు ఆంకాలజీ, డాక్టర్ పేరు Oncology Consultant, మరియు చిరునామా క్యాన్సర్ బ్లాక్."
2026-01-08T11:32:11.409913,en,what are the time,"- Department: General Medicine, Doctor: Consultant Physician, Location: OPD Block, Ground Floor"
2026-01-08T11:32:40.656188,te,చర్మవ్యాధుల విభాగం ఎక్కడ ఉంది,"చర్మ వైద్యం విభాగం ఓపీడి బ్లాక్‌లో ఉంది.
చర్మ వైద్యం విభాగానికి చెందిన డాక్టర్: చర్మ వైద"
2026-01-08T11:32:56.149477,te,చర్మ వైద్యం విభాగం ఊపిరి బ్లాక్ లో ఉంది చర్మ వైద్యం విభాగానికి చెందిన డాక్టర్ చర్మ వైద్య,"చర్మ వైద్యం

చర్మ వైద్యం విభాగం: చర్మ వైద్యం
డాక్టర్ పేరు: చర్మ వైద్యం
ఇంటరియర్ సూచనలు: చ"
2026-01-08T11:41:37.795033,en,how can i help you,"Emergency, Doctor: Emergency Physician, Location: Ground Floor, Emergency Block"
2026-01-08T11:41:49.016652,te,ఎమర్జెన్సీ బ్రో,అత్యవసరం బ్రో
2026-01-08T11:41:56.023986,te,అత్యవసరం బ్రో,"అత్యవసరం: గ్రౌండ్ ఫ్లోర్, అత్యవసర విభాగం"
2026-01-08T11:42:37.882002,en,hello,"Cardiology, Department: Cardiology, Doctor: Dr. O. Sai Satish, Location: Ground Floor, Rooms 2, 4, 6"
2026-01-08T11:42:59.198372,en,rules to 46,Gastroenterology
2026-01-08T11:43:12.275851,hi,आईटी शोल्डन'टी बी रंग,"- Department: ऑर्थोपेडिक्स, Location: ट्रॉमा और ऑर्थोपेडिक्स ब्लॉक"
2026-01-08T11:59:43.788330,en,how can i help you,Cardiology
2026-01-08T11:59:54.608340,te,ఆప్తమాలజీ విభాగం ఎక్కడ ఉంది,"- Department: ఆప్తమాలోజీ
సమాచారం సరిగ్గా ఉండవని చూస్తున్నాను. కాదు ఆప్తమాలోజీ విభాగం కిందివిధాన"
2026-01-08T12:00:10.005287,te,విభాగం కింది విధానం,"మీ వినియోగదారు సమాచారం ద్వారా, మేము వివిధ విభాగాలకు సంబంధించిన మీ అభ్యర్థన.

అయితే, మీరు"
2026-01-08T12:00:26.531278,te,అయితే వేర్ ఇస్ ద మై విలేజ్,మీరు ఇంటి వద్ద కావించుకుంటున్న వైద్య సహాయం విషయానికి సంబంధించి ఈ క్రింది డూల్ సమాచారం క
2026-01-08T12:01:08.484050,en,general knowledge,"General Medicine (OPD Block, Ground Floor)"
2026-01-08T12:01:16.096970,hi,ग्राउंड फ्लोर,"- Department: जनरल मेडिसिन, Doctor: Consultant Physician, Location: ओपीडी ब्लॉक, ग्राउंड फ्लोर
- Department: कार्डियोलॉजी, Doctor: Dr. O. Sai Satish, Location: ग्राउंड फ्लोर, कमरा 2, 4, 6
- Department: आपातकालीन, Doctor: Emergency Physician, Location: ग्राउंड फ्लोर, आपातकालीन ब्लॉक"
2026-01-08T12:10:08.786111,en,how can i help you,Department: Cardiology
2026-01-08T12:21:39.514704,en,how can i help you,General Medicine
2026-01-08T12:41:32.752740,en,how can i help you,General Medicine
2026-01-08T12:41:36.943765,en,general medicine,- Department: General Medicine
2026-01-08T12:42:14.693273,te,ఆంకాలజీ విభాగం ఎక్కడ ఉంది,క్యాన్సర్ బ్లాక్
2026-01-08T12:43:12.703768,en,how can i help you,Please describe your symptoms so I can direct you to the appropriate department.
2026-01-08T12:43:22.526453,en,high problem,"Emergency (Ground Floor, Emergency Block)"
2026-01-08T12:43:32.675839,te,ఎమర్జెన్సీ రౌండ్ ఫ్లోర్ ఎమర్జెన్సీ బ్లాక్,"మేం నాకు వివరాలను అందించారు. అక్కడి జట్టుకు ఇది సంబంధించినదే, ఎమర్జెన్సీ డిపార్ట్‌మెం"
2026-01-08T12:44:14.309856,en,general,General Medicine
2026-01-08T12:44:18.676718,en,general medicine,"General Medicine, Consultant Physician, OPD Block, Ground Floor"
2026-01-08T12:45:32.397899,hi,पास नहीं है कुछ भी इनफॉरमेशन आईटी कैन डायरेक्ट थे तो जनरल,"- Department: जनरल मेडिसिन
- Doctor: Consultant Physician
- Location: ओपीडी ब्लॉक, ग्राउंड फ्लोर"
2026-01-08T13:18:44.087544,en,how can i help you,General Medicine
2026-01-08T13:18:48.096911,te,అపార్ట్మెంట్,"ప్రతిస్పందన:

డెపార్ట్‌మెంట్: చర్మ వైద్యం
డాక్టర్: డెర్మాటాలజీ కన్సల్టెంట్
లోకల్: చర్"
2026-01-08T13:19:20.476306,en,where is urology department,"Urology: 6th Floor, Rooms 609-611"
2026-01-08T13:19:34.416647,en,lock,Emergency
2026-01-08T13:19:54.823942,hi,मॉर्निंग,मुझे लगता है कि आपको सुबह अच्छी लग रही है और आप तैयार हो सकते हैं अपना दिन शुरू करना। क्या मैं आपकी कहानी में भाग ले सकता हूँ कि आप क्या करते हैं और आप कहाँ जाना चाहते हैं।
2026-01-08T15:14:57.302050,hi,क्वालिटी डिपार्टमेंट,Department: Quality Assurance and Improvement (विशिष्टता नहीं मिलती)
2026-01-08T15:15:21.391247,te,ఆంకాలజీ డిపార్ట్మెంట్,"ఆంకాలజీ డిపార్ట్మెంట్

వైద్య శాఖ మార్గం:
 క్యాన్సర్ బ్లాక్
అంతస్తు: -"
2026-01-08T15:15:33.686788,te,క్యాన్సర్ బ్లాక్ అండ్ టెస్ట్,"విభాగం పేరు ఆంకాలజీ, డాక్టర్ పేరు Oncology Consultant, మరియు చిరునామా క్యాన్సర్ బ్లాక్."
2026-01-08T15:16:10.499293,te,మరియు చిరునామా క్యాన్సర్,"విభాగం పేరు ఆంకాలజీ, డాక్టర్ పేరు Oncology Consultant, మరియు చిరునామా క్యాన్సర్ బ్లాక్."
2026-01-08T15:16:25.729197,te,యూరాలజీ డిపార్ట్మెంట్లో,"సంభావ్య 6వ అంతస్తు, గది 609-611 కంటికి వెళ్లాలి."
2026-01-08T15:16:58.827369,hi,गायनेकोलॉजी,"कोई उल्लेख नहीं है कि गायनेकोलॉजी विभाग की सूची में है। यदि आप गायनेकोलॉजी विभाग की आवश्यकता है, तो मैं सुझाव दे सकता हूँ कि यह ऑन्कोलॉजी विभाग या जनरल मेडिसिन विभाग के समान हो सकता है।"
2026-01-08T15:17:21.476889,te,ఎందుకంటే,నేను హాస్పిటల్ నావిగేషన్ అసిస్టెంట్. వినియోగదారు నివేదించిన లక్షణాలను అందించిన జాబి
2026-01-08T15:17:39.836479,en,fir kya hoga ki har do ya 3 minut mein vah check karega ki to density is higher,Neurology
2026-01-08T15:47:37.185378,te,కాజల్ ది డిపార్ట్మెంట్ ఎక్కడ,డిపార్ట్మెంట్ నివేదించబడలేదు
2026-01-08T15:47:43.760839,te,డిపార్ట్మెంట్ నివేదించ బడలేదు,డిపార్ట్మెంట్ నివేదించలేదు. కొన్ని లక్షణాలను పూరించండి
2026-01-08T15:47:54.414961,te,గుండె నొప్పిగా ఉంది,"విభాగం పేరు కార్డియాలజీ, డాక్టర్ పేరు Dr. O. Sai Satish, మరియు చిరునామా గ్రౌండ్ ఫ్లోర్, గది 2, 4, 6."
2026-01-08T15:48:13.426848,te,నాకు బ్యాక్ పెయిన్ వస్తుంది,"మీ లక్షణాలు ఆర్థోపెడిక్స్ విభాగానికి సంబంధించినవని, మీరు తీసుకోవలసిన చర్యలు కింది వి"
2026-01-08T15:48:25.061245,te,మీరు తీసుకోవలసిన చర్యలు కిందివి,"నేను తీసుకోవలసిన చర్యలు:

1. వినియోగదారు నివేదించిన లక్షణాలను అందించిన జాబితా నుండి అత్"
2026-01-08T15:48:42.910261,te,నేను తీసుకోవలసిన చర్యలు ఒకటి వినియోగదారు నివేదించిన లక్షణాలను అందించిన జాబితా నుండి,వినియోగదారుగారికి సహాయం కోరుకున్న విధంగా ఒక విషయాన్ని ( ఎగువన జాబితా ఉన్న  జాబితాలో చెప
2026-01-08T15:49:17.574463,en,thoracic department,Cardiology
2026-01-08T15:49:48.375328,en,orthopaedic kab ho bata diya tha,Orthopaedics
2026-01-08T15:50:21.593380,te,ప్లీజ్ కెన్ యు ఆస్క్ యువర్ ఒన్స్ అగైన్ నడుం నొప్పికి నేను ఎక్కడికి వెళ్లాలి,"నిడుం నొప్పి కోసం, మీరు 6వ అంతస్తు, గది 609-611లో యూరాలజీ విభాగాన్ని సందర్శించవచ్చు."
2026-01-08T15:50:39.547232,en,bhagya 2 may complaint kiya tha vah yuvraj,Dermatology
2026-01-08T15:50:51.946253,en,agar agar vah samajh nahin payega to,Emergency
2026-01-09T10:44:08.252801,te,రామోజీ ఫిలిం సిటీ ఆఫీస్,"లెకార్నియా / ఆంత్ర సమస్యలు: 
చర్మ వైద్యం: సూపర్ స్పెషాలిటీ బ్లాక్, మెడికల్ డైయాగ్నస్టిక"
2026-01-09T10:58:21.398578,te,తెలుగు,"నేను హాస్పిటల్ నావిగేషన్ అసిస్టెంట్. ఈ దాఖలైన లక్షణాల ఆధారంగా మీకు ప్రతిస్పందన ఉంది.

ని"
2026-01-09T11:02:05.910810,en,battery,Emergency
2026-01-09T11:02:10.622760,te,ok google,మీ నివేదిత లక్షణాలను అందించిన జాబితా నుండి అత్యంత సంబంధిత విభాగం కింది అంతస్తు అయినా ని
2026-01-09T11:02:25.384097,te,వీడియో సాంగ్స్,అత్యంత సంబంధిత విభాగం: ఆర్థోపెడిక్స్
2026-01-09T11:05:06.875636,te,ఫిబ్రవరి,- సమస్య: మేము ఒక వ్యక్తిలో గుండెలు పగిలిపోయినట్లు 2వ నుండి 6వ గది జాబితా చేసిన పరీక్షల్లో
2026-01-09T11:07:35.740451,en,apne dimag,Psychiatry
2026-01-09T11:07:56.785073,en,dimag kharab,Neurology
2026-01-09T11:08:24.245148,te,కళ్యాణి,"కళ్యాణి వైద్యశాలలో వైద్య విభాగాలను నేను కింది విధంగా చెప్పవచ్చు:

- జనరల్ మెడిసిన్  లేదా"
2026-01-09T11:08:47.586228,te,అవ్వకూడదు,గొంతు పేలుకున్నది.
2026-01-09T11:08:54.764546,en,my channel,ENT
2026-01-09T11:09:54.181643,hi,बैक टू बैक कैसा खर्चा,आपातकालीन
2026-01-09T11:10:35.986830,te,అన్నా చెప్పాలి,"అభ్యర్థిత్రులు

చెప్పడం"
2026-01-09T13:17:00.832718,en,how can i help you,Cardiology Unit 1
2026-01-09T13:17:16.865947,en,can you tell me the destination of cardiology unit,Cardiology Unit 1 or 2.
2026-01-09T13:18:29.167659,en,how can i help you,General OPD
2026-01-09T13:18:35.783584,te,జనరల్ ఓ,"విభాగం: జనరల్ ఓపీడి
డాక్టర్: ప్రస్తావనలో పేర్కొనబడనప్పటికీ సాధారణ డాక్టర్
లోకేషన్: ఓ"
2026-01-09T13:18:56.707862,en,can you tell me where is oncology department,None
2026-01-09T13:19:08.039751,en,can you tell me where is urology department,"Department: Urology, Location: 6th floor, rooms 609-611"
2026-01-09T13:19:22.732788,en,can you tell me,"Cardiology Unit 1, Cardiology Unit 2, Cardiology Unit 4"
2026-01-09T13:19:40.138379,te,కార్డియాలజీ యూనిట్ ఫోర్ వేర్ ఇస్ డిపార్ట్మెంట్ ఆఫ్ ఈఎన్టి,కార్డియాలజీ యూనిట్-4 వ్యాధిని నేరుగా బాగా పరిష్కరించనందున పైన పేర్కొన్న ఇతర ప్రాంతాలక
2026-01-09T13:36:04.115433,en,please can you ask your question once again can you give me directions of ent,"The department name is Pulmonary Medicine, the doctor's name is Dr. G. K. Paramjyothi, and the address is 4th floor, rooms 403 and 404."
2026-01-09T13:44:38.478087,en,general,"The department name is General OPD, the doctor's name is General Duty Doctor, and the address is OPD Block, Ground Floor."
2026-01-09T13:45:06.574588,en,iti general,"The department name is General OPD, the doctor's name is General Duty Doctor, and the address is OPD Block, Ground Floor."
2026-01-09T14:09:10.691626,en,how can i help you,"The department name is General OPD, the doctor's name is General Duty Doctor, and the address is OPD Block, Ground Floor."
2026-01-09T14:21:23.460960,en,begum,"The department name is General OPD, the doctor's name is General Duty Doctor, and the address is OPD Block, Ground Floor."
2026-01-09T14:32:44.927949,en,oncology department,"The department name is General OPD, the doctor's name is General Duty Doctor, and the address is OPD Block, Ground Floor."
2026-01-09T14:33:39.184002,en,department of urology,"The department name is Urology, the doctor's name is Dr. Ch. Ram Reddy, and the address is 6th floor, rooms 609-611."
2026-01-09T14:34:01.310179,en,ram reddy and the address is 6th floor room 69611,"The department name is Urology, the doctor's name is Dr. Ch. Ram Reddy, and the address is 6th floor, rooms 609-611."
2026-01-09T14:34:18.476760,en,ram reddy and the address is 6th floor room 69611,"The department name is Urology, the doctor's name is Dr. Ch. Ram Reddy, and the address is 6th floor, rooms 609-611."
2026-01-09T14:41:04.317045,en,pulmonary medicine department,"The department name is Pulmonary Medicine, the doctor's name is Dr. G. K. Paramjyothi, and the address is 4th floor, rooms 403 and 404."
2026-01-09T14:41:36.741072,en,rules 443 and 404,"The department name is Pulmonary Medicine, the doctor's name is Dr. G. K. Paramjyothi, and the address is 4th floor, rooms 403 and 404."
2026-01-09T14:41:53.740394,en,rules 443404,"The department name is Pulmonary Medicine, the doctor's name is Dr. G. K. Paramjyothi, and the address is 4th floor, rooms 403 and 404."
2026-01-09T14:45:21.010138,en,i have chest pain where should i go,"The department name is Cardiology Unit 1, the doctor's name is Dr. O. Sai Satish, and the address is Ground floor, rooms 2, 4, 6."
2026-01-09T14:45:55.183927,en,for liver problems where should i go,"The department name is Medical Gastroenterology, the doctor's name is Dr. Y. Satyanarayana Raju, and the address is 5th floor, room 502."
2026-01-09T14:46:18.229274,en,satyanarayana raju and the address is 5th floor room 502,"The department name is Medical Gastroenterology, the doctor's name is Dr. Y. Satyanarayana Raju, and the address is 5th floor, room 502."
2026-01-09T14:46:35.561468,en,satyanarayana raju and the address is 5th floor room 502,"The department name is Medical Gastroenterology, the doctor's name is Dr. Y. Satyanarayana Raju, and the address is 5th floor, room 502."
2026-01-09T14:46:52.488182,en,satyanarayana raju and the address is 5th floor room 502,"The department name is Medical Gastroenterology, the doctor's name is Dr. Y. Satyanarayana Raju, and the address is 5th floor, room 502."
2026-01-09T14:56:03.496871,en,how can i help you,"The department name is General Medicine, the doctor's name is General Physician, and the address is OPD Block, 1st Floor."
2026-01-09T15:14:52.646716,en,i have tb problem,"The department name is Pulmonary Medicine, the doctor's name is Dr. G. K. Paramjyothi, and the address is 4th floor, rooms 403 and 404."
2026-01-09T15:15:12.628771,en,rules 443 and 404,"The department name is General Medicine, the doctor's name is General Physician, and the address is OPD Block, 1st Floor."
2026-01-09T15:24:53.916202,en,i have a general check up to do,"The department name is General OPD, the doctor's name is General Duty Doctor, and the address is OPD Block, Ground Floor."
2026-01-09T15:25:28.290233,en,please can you ask you a question once again,"The department name is General Medicine, the doctor's name is General Physician, and the address is OPD Block, 1st Floor."
2026-01-09T15:26:10.356286,en,department of oncology,"The department name is General OPD, the doctor's name is General Duty Doctor, and the address is OPD Block, Ground Floor."
2026-01-09T15:51:09.457756,te,నాకు జ్వరం ఉంది,"విభాగం పేరు జనరల్ ఓపీడీ, డాక్టర్ పేరు General Duty Doctor, మరియు చిరునామా ఓపీడీ బ్లాక్, గ్రౌండ్ ఫ్లోర్."
2026-01-09T15:51:42.671337,te,ఆంకాలజీ విభాగం చీమల దిశ,"విభాగం పేరు జనరల్ ఓపీడీ, డాక్టర్ పేరు General Duty Doctor, మరియు చిరునామా ఓపీడీ బ్లాక్, గ్రౌండ్ ఫ్లోర్."
2026-01-09T15:52:52.387605,te,నాకు గుండెపోటు ఉంది,"విభాగం పేరు కార్డియాలజీ యూనిట్-4, డాక్టర్ పేరు Dr. M. Jyotsna, మరియు చిరునామా గ్రౌండ్ ఫ్లోర్, గది 2, 4, 6."
2026-01-09T15:53:21.269435,te,నాకు కడుపు నొప్పి ఉంది,"విభాగం పేరు మెడికల్ గ్యాస్ట్రోఎంటరాలజీ, డాక్టర్ పేరు Dr. Y. Satyanarayana Raju, మరియు చిరునామా 5వ అంతస్తు, గది 502."
2026-01-09T15:53:46.903641,te,నాకు ఆంకాలజీ విభాగం కావాలి,"విభాగం పేరు జనరల్ ఓపీడీ, డాక్టర్ పేరు General Duty Doctor, మరియు చిరునామా ఓపీడీ బ్లాక్, గ్రౌండ్ ఫ్లోర్."
2026-01-09T15:54:08.812095,en,pulmonary department kavali,"The department name is General Medicine, the doctor's name is General Physician, and the address is OPD Block, 1st Floor."
2026-01-09T15:54:31.336563,en,nagpur pulmonary department kavali,"The department name is General Medicine, the doctor's name is General Physician, and the address is OPD Block, 1st Floor."
2026-01-09T15:55:37.905191,en,nagpur kidney stone,"The department name is Urology, the doctor's name is Dr. Ch. Ram Reddy, and the address is 6th floor, rooms 609-611."
2026-01-09T15:55:55.859473,en,and the address is 6th floor room 609611,"The department name is Urology, the doctor's name is Dr. Ch. Ram Reddy, and the address is 6th floor, rooms 609-611."
2026-01-09T15:56:12.763723,en,ram reddy and the address is 6th floor room 69611,"The department name is Urology, the doctor's name is Dr. Ch. Ram Reddy, and the address is 6th floor, rooms 609-611."
2026-01-09T15:57:49.251578,te,నాకు కడుపు నొప్పిగా ఉంది,"విభాగం పేరు మెడికల్ గ్యాస్ట్రోఎంటరాలజీ, డాక్టర్ పేరు Dr. Y. Satyanarayana Raju, మరియు చిరునామా 5వ అంతస్తు, గది 502."
2026-01-09T16:04:28.114711,te,నాకు కడుపు నొప్పి ఉంది,"విభాగం పేరు మెడికల్ గ్యాస్ట్రోఎంటరాలజీ, డాక్టర్ పేరు Dr. Y. Satyanarayana Raju, మరియు చిరునామా 5వ అంతస్తు, గది 502."
2026-01-09T16:05:37.858622,te,నాకు జ్వరం ఉంది,"విభాగం పేరు జనరల్ ఓపీడీ, డాక్టర్ పేరు General Duty Doctor, మరియు చిరునామా ఓపీడీ బ్లాక్, గ్రౌండ్ ఫ్లోర్."
